Profile Analysis
Project Root: C:\Users\aspec\Documents\INF8175-PROJECT\Xenith
Profile File: C:\Users\aspec\Documents\INF8175-PROJECT\Xenith\pipeline\out\profile_stats
Total Functions Found: 380

+--------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                       Top 500 Project Functions by 'total_time'                                                        |
+-----------------------------------------------------------------------------+----------+----------------+--------------+----------------+--------------+
|                                   Function                                  |  Calls   | Total Time (s) | Per Call (s) | Cumulative (s) | Cum/Call (s) |
+-----------------------------------------------------------------------------+----------+----------------+--------------+----------------+--------------+
|                 _compute_local_moves (playout_policy.py:184)                |  559082  |  11.803519300  | 0.000021112  |  19.293921200  | 0.000034510  |
|              apply_move (field_propagation_pattern_store.py:97)             |  559098  |  11.454120900  | 0.000020487  |  12.245820900  | 0.000021903  |
|                          matches (vc_pattern.py:51)                         | 1946405  |  10.371110600  | 0.000005328  |  23.981537200  | 0.000012321  |
|                    generate_move (playout_policy.py:142)                    |  559082  |  8.258232900   | 0.000014771  |  37.750819300  | 0.000067523  |
|            compute_dead_regions_single_group (dead_region.py:97)            |    5     |  8.106829500   | 1.621365900  |  14.731097700  | 2.946219540  |
|                 are_cells_adjacent_fast (dead_region.py:22)                 | 17505274 |  5.923192000   | 0.000000338  |  5.923192000   | 0.000000338  |
|                    execute_rollout (playout_phase.py:37)                    |   3297   |  4.474956800   | 0.001357281  |  67.169544900  | 0.020372928  |
|              get_keys (field_propagation_pattern_store.py:126)              | 5682563  |  4.130357700   | 0.000000727  |  4.130357700   | 0.000000727  |
|                 add_piece_and_update_groups (clusters.py:54)                |  568716  |  3.760029400   | 0.000006611  |  6.753808500   | 0.000011876  |
|                      apply_move (playout_policy.py:107)                     |  559082  |  2.609559800   | 0.000004668  |  14.854461200  | 0.000026569  |
|              _initialize_global_weights (playout_policy.py:62)              |   3297   |  2.276805600   | 0.000690569  |  3.182683100   | 0.000965327  |
|                            _find (clusters.py:77)                           | 3246174  |  2.219181500   | 0.000000684  |  2.219181500   | 0.000000684  |
|                   compute_captured_sets (vcs_build.py:16)                   |    10    |  2.190861700   | 0.219086170  |  26.586419600  | 2.658641960  |
|           _get_cell_index (field_propagation_pattern_store.py:74)           |  559098  |  0.791681500   | 0.000001416  |  0.791681500   | 0.000001416  |
|                           _union (clusters.py:84)                           |  770013  |  0.774597600   | 0.000001006  |  1.972456500   | 0.000002562  |
|                     <module> (global_pattern_table.py:1)                    |    1     |  0.767558900   | 0.767558900  |  0.767754400   | 0.767754400  |
|                  select_best_action (selection_phase.py:15)                 |   9618   |  0.531483700   | 0.000055259  |  0.773193600   | 0.000080390  |
|       get_affected_neighbors (field_propagation_pattern_store.py:129)       |  556747  |  0.487459900   | 0.000000876  |  0.592810400   | 0.000001065  |
|                   _backpropagate (search_executor.py:414)                   |   3296   |  0.341835900   | 0.000103712  |  0.373157700   | 0.000113215  |
|                      compute_priors (gamma_prior.py:18)                     |   963    |  0.298729500   | 0.000310207  |  0.540332300   | 0.000561093  |
|                         endpoints (vc_pattern.py:47)                        | 1160527  |  0.249772200   | 0.000000215  |  0.249772200   | 0.000000215  |
|                _run_single_iteration (search_executor.py:172)               |   3297   |  0.213807100   | 0.000064849  |  78.056578000  | 0.023675031  |
|                       not_opponent (vc_pattern.py:43)                       | 1160527  |  0.165948500   | 0.000000143  |  0.165948500   | 0.000000143  |
|                         get_winner (clusters.py:91)                         |  559081  |  0.120545900   | 0.000000216  |  0.120545900   | 0.000000216  |
|                          get_group (groups.py:142)                          |  198042  |  0.096251700   | 0.000000486  |  0.096251700   | 0.000000486  |
|                     <module> (local_pattern_table.py:1)                     |    1     |  0.084132700   | 0.084132700  |  0.084333800   | 0.084333800  |
|                     match_on_cell (pattern_state.py:275)                    |  15001   |  0.080633500   | 0.000005375  |  0.135241800   | 0.000009016  |
| use_graph_theory_to_find_dead_vulnerable (ice_engine_dead_vulnerable.py:68) |    26    |  0.047816100   | 0.001839081  |  0.074188800   | 0.002853415  |
|                      add_pattern_vcs (vcs_build.py:73)                      |    10    |  0.039584200   | 0.003958420  |  0.209400100   | 0.020940010  |
|                       _allocate_node (flat_tree.py:71)                      |   3302   |  0.033174900   | 0.000010047  |  0.035516300   | 0.000010756  |
|                          __init__ (clusters.py:19)                          |   6598   |  0.028765700   | 0.000004360  |  0.045565800   | 0.000006906  |
|      _compute_key_from_scratch (field_propagation_pattern_store.py:47)      |   964    |  0.025253200   | 0.000026196  |  0.037231800   | 0.000038622  |
|                     _apply_move (search_executor.py:395)                    |   9618   |  0.022411200   | 0.000002330  |  0.111415900   | 0.000011584  |
|              apply_move_hash (inc_zobrist_hasher_tracker.py:60)             |   3297   |  0.022366400   | 0.000006784  |  0.022366400   | 0.000006784  |
|                run_search_iterations (search_executor.py:38)                |    4     |  0.021152100   | 0.005288025  | 111.346948600  | 27.836737150 |
|                            copy (clusters.py:94)                            |   6594   |  0.020437700   | 0.000003099  |  0.076224400   | 0.000011560  |
|                 _compute_pattern_fillin (ice_engine.py:223)                 |    13    |  0.020089800   | 0.001545369  |  0.103706600   | 0.007977431  |
|                 _initialize_priors (search_executor.py:312)                 |   963    |  0.019328100   | 0.000020071  |  0.574006900   | 0.000596061  |
|                copy (field_propagation_pattern_store.py:134)                |   3297   |  0.018372100   | 0.000005572  |  0.032994300   | 0.000010007  |
|                  list_for_godel (hashed_pattern_set.py:15)                  |  15001   |  0.018212500   | 0.000001214  |  0.042308200   | 0.000002820  |
|                    _expand_node (search_executor.py:349)                    |   3297   |  0.017684700   | 0.000005364  |  0.131793100   | 0.000039974  |
|                        ensure_child (flat_tree.py:98)                       |   3297   |  0.016915200   | 0.000005130  |  0.052349100   | 0.000015878  |
|                         __init__ (ice_pattern.py:8)                         |   5408   |  0.012910100   | 0.000002387  |  0.013351400   | 0.000002469  |
|                    match_on_board (pattern_state.py:302)                    |    41    |  0.011758800   | 0.000286800  |  0.081115100   | 0.001978417  |
|                           index (ring_godel.py:30)                          |  15001   |  0.010769600   | 0.000000718  |  0.012511700   | 0.000000834  |
|               update_rave_skip_counter (selection_phase.py:67)              |   9618   |  0.008024900   | 0.000000834  |  0.008024900   | 0.000000834  |
|             verify_complete_adjacency (ice_engine_helpers.py:68)            |   485    |  0.007097000   | 0.000014633  |  0.012409300   | 0.000025586  |
